target_active_sessions,repetition,deadline_ms,grouping,threshold_k,horizon_s,mean_active_sessions,event_count,fixed_window_eligible_share,exact_optimal_share,local_upper_share,exact_accelerated_event_count,exact_batch_count,alignment_gap_closure,solver_elapsed_s,algorithm
1000,1,10,event_class,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012201684061437845,unit_interval_monotone_dp
1000,1,10,event_class,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.01202764781191945,unit_interval_monotone_dp
1000,1,10,event_class,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012284856755286455,unit_interval_monotone_dp
1000,1,10,event_class,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012216452043503523,unit_interval_monotone_dp
1000,1,10,pooled,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012678281869739294,unit_interval_monotone_dp
1000,1,10,pooled,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012090768199414015,unit_interval_monotone_dp
1000,1,10,pooled,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012481805868446827,unit_interval_monotone_dp
1000,1,10,pooled,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012335015926510096,unit_interval_monotone_dp
1000,1,10,route_key,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012483935803174973,unit_interval_monotone_dp
1000,1,10,route_key,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.01243667770177126,unit_interval_monotone_dp
1000,1,10,route_key,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.01242560101673007,unit_interval_monotone_dp
1000,1,10,route_key,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012219063006341457,unit_interval_monotone_dp
1000,1,25,event_class,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.01198795298114419,unit_interval_monotone_dp
1000,1,25,event_class,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012090253178030252,unit_interval_monotone_dp
1000,1,25,event_class,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012485654093325138,unit_interval_monotone_dp
1000,1,25,event_class,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012528762221336365,unit_interval_monotone_dp
1000,1,25,pooled,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.01241921866312623,unit_interval_monotone_dp
1000,1,25,pooled,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012286863755434752,unit_interval_monotone_dp
1000,1,25,pooled,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.01228524511680007,unit_interval_monotone_dp
1000,1,25,pooled,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.01219239691272378,unit_interval_monotone_dp
1000,1,25,route_key,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.013261385262012482,unit_interval_monotone_dp
1000,1,25,route_key,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.013476057909429073,unit_interval_monotone_dp
1000,1,25,route_key,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012956353835761547,unit_interval_monotone_dp
1000,1,25,route_key,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012651590164750814,unit_interval_monotone_dp
1000,1,50,event_class,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.0127358827739954,unit_interval_monotone_dp
1000,1,50,event_class,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012518110685050488,unit_interval_monotone_dp
1000,1,50,event_class,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012512476183474064,unit_interval_monotone_dp
1000,1,50,event_class,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012499018106609583,unit_interval_monotone_dp
1000,1,50,pooled,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.01246390724554658,unit_interval_monotone_dp
1000,1,50,pooled,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012772867921739817,unit_interval_monotone_dp
1000,1,50,pooled,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012574882246553898,unit_interval_monotone_dp
1000,1,50,pooled,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012293796986341476,unit_interval_monotone_dp
1000,1,50,route_key,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012844783253967762,unit_interval_monotone_dp
1000,1,50,route_key,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012669364921748638,unit_interval_monotone_dp
1000,1,50,route_key,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012586664874106646,unit_interval_monotone_dp
1000,1,50,route_key,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012304534204304218,unit_interval_monotone_dp
1000,1,100,event_class,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012501393910497427,unit_interval_monotone_dp
1000,1,100,event_class,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012209206819534302,unit_interval_monotone_dp
1000,1,100,event_class,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012251796200871468,unit_interval_monotone_dp
1000,1,100,event_class,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012196481227874756,unit_interval_monotone_dp
1000,1,100,pooled,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012394008692353964,unit_interval_monotone_dp
1000,1,100,pooled,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012498550117015839,unit_interval_monotone_dp
1000,1,100,pooled,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012803424149751663,unit_interval_monotone_dp
1000,1,100,pooled,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012444271706044674,unit_interval_monotone_dp
1000,1,100,route_key,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012539721094071865,unit_interval_monotone_dp
1000,1,100,route_key,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012452492956072092,unit_interval_monotone_dp
1000,1,100,route_key,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012335220817476511,unit_interval_monotone_dp
1000,1,100,route_key,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012212770991027355,unit_interval_monotone_dp
1000,1,250,event_class,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012347412761300802,unit_interval_monotone_dp
1000,1,250,event_class,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012157354969531298,unit_interval_monotone_dp
1000,1,250,event_class,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.01220767805352807,unit_interval_monotone_dp
1000,1,250,event_class,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012123294174671173,unit_interval_monotone_dp
1000,1,250,pooled,32,60.0,979.8641044770044,6521,0.23523999386597147,0.5683177426775035,0.6851709860450851,3706,108,0.7402862985685073,0.013114945031702518,unit_interval_monotone_dp
1000,1,250,pooled,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012488994281738997,unit_interval_monotone_dp
1000,1,250,pooled,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012271868996322155,unit_interval_monotone_dp
1000,1,250,pooled,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.01224760478362441,unit_interval_monotone_dp
1000,1,250,route_key,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012272095773369074,unit_interval_monotone_dp
1000,1,250,route_key,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012218957301229239,unit_interval_monotone_dp
1000,1,250,route_key,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.012512560933828354,unit_interval_monotone_dp
1000,1,250,route_key,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,0,0,,0.01191155007109046,unit_interval_monotone_dp
1000,2,10,event_class,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.012707381043583155,unit_interval_monotone_dp
1000,2,10,event_class,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.01320649217814207,unit_interval_monotone_dp
1000,2,10,event_class,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.012638458050787449,unit_interval_monotone_dp
1000,2,10,event_class,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013884536921977997,unit_interval_monotone_dp
1000,2,10,pooled,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013036048039793968,unit_interval_monotone_dp
1000,2,10,pooled,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013052796944975853,unit_interval_monotone_dp
1000,2,10,pooled,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.012789980974048376,unit_interval_monotone_dp
1000,2,10,pooled,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.012978986836969852,unit_interval_monotone_dp
1000,2,10,route_key,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013365417718887329,unit_interval_monotone_dp
