requested_gpu,agent_count,state_width,action_count,observation_horizon,placements,wall_ms_median_of_placement_medians,wall_ms_placement_min,wall_ms_placement_max,device_ms_median_of_placement_medians,wall_to_device_ratio_median,tuned_cpu_wall_ms_median_of_placements,speedup_median_of_placements,speedup_placement_min,speedup_placement_max,placements_speedup_gt_one,compile_ms_median_of_placements,ns_per_agent_step_median_of_placements,gpu_price_usd_per_second,cost_usd_per_billion_median,cost_usd_per_billion_placement_min,cost_usd_per_billion_placement_max,fraction_placements_speedup_gt_one
L40S,256,8,1,1,3,3.249384,3.1054370000000002,5.930697,3.2093600034713745,1.0119701968112615,3.0100935,0.906233533765087,0.8425158430028584,0.9692978798153045,0,1100.961318,198.32666015625,0.000542,0.10749304980468749,0.10273113122558593,0.19619371179199216,0.0
T4,8,8,1,1,3,6.1604255000000006,6.127168,6.399515,6.115823984146118,1.0072928056741826,6.3286545,1.0108166611393714,1.008541194137368,1.0273080163050425,3,1053.155891,12032.0810546875,0.000164,1.97326129296875,1.9626085,2.0498446484375,1.0
T4,16,8,1,1,3,6.2687295,6.1963335,6.6070530000000005,6.224079847335815,1.0073815603192129,7.300838000000001,1.1202704793084493,1.1050067253887625,1.1679547665918588,3,1060.500713,6121.80615234375,0.000164,1.0039762089843751,0.992381537109375,1.05816083203125,1.0
T4,32,8,1,1,3,6.330823499999999,6.1470365000000005,6.875017,6.289072036743164,1.0066387319167132,7.227349,1.1518613888171967,1.0512481641863578,1.1523071208666615,3,1245.41291,3091.222412109375,0.000164,0.5069604755859375,0.49224315722656253,0.550538470703125,1.0
T4,64,8,1,1,3,6.167933,6.1541855000000005,6.562678999999999,6.121392011642456,1.0074374418303547,7.547283,1.1500308029693362,1.1235313353760492,1.2441047641479117,3,863.347145,1505.843017578125,0.000164,0.2469582548828125,0.24640781787109375,0.2627635146484375,1.0
T4,128,8,1,1,3,6.5721295,6.01282,6.5946915,6.524399995803833,1.007315539241442,7.261353,1.133757204563701,1.1048706511337003,1.1659675493362516,3,1452.268965,802.2619018554688,0.000164,0.13157095190429688,0.120373837890625,0.1320226325683594,1.0
T4,256,8,1,1,3,6.2192715,6.158647,6.7670645,6.175679922103882,1.0086565271159023,7.5292984999999994,1.2004881118311044,1.128772010374661,1.2225572434984502,3,1395.130835,379.5942077636719,0.000164,0.062253450073242185,0.061646613037109374,0.0677367296142578,1.0
A10,8,8,1,64,3,0.18036049999999998,0.17092000000000002,0.219993,0.15579200536012644,1.1557394993962227,0.47014049999999996,2.4966248153004678,2.2005063797484463,2.7506465012871515,3,10326.704295,352.2666015625,0.000306,0.107793580078125,0.10215140625000001,0.13148019140625,1.0
A10,16,8,1,64,3,0.184401,0.1752675,0.1967375,0.15721600502729416,1.1540474752882361,0.4824585,2.6163551173800577,2.3720642988754053,2.770351034846734,3,10490.127894,180.0791015625,0.000306,0.055104205078125,0.0523748583984375,0.0587906982421875,1.0
A10,32,8,1,64,3,0.2108295,0.1700855,0.252164,0.1825600042939186,1.1548504329599378,0.48839449999999995,2.3165377710424773,2.014847480211291,2.7771855919522825,3,11366.25861,102.944091796875,0.000306,0.03150089208984375,0.02541316552734375,0.03767684765625,1.0
A10,64,8,1,64,3,0.1672555,0.166356,0.1735425,0.14566399902105326,1.1590517458984189,0.504076,2.9741622846483375,2.904625668064019,3.1393427348577747,3,11099.470422,40.8338623046875,0.000306,0.012495161865234375,0.012427962890625,0.012964844970703125,1.0
A10,128,8,1,64,3,0.19273200000000001,0.17652099999999998,0.24711349999999999,0.16883199661970133,1.1463593413974087,0.5784294999999999,2.976254591868501,2.733707385472668,3.2768310852533125,3,11475.604362,23.52685546875,0.000306,0.007199217773437501,0.006593679931640626,0.009230557983398438,1.0
A10,256,8,1,64,3,0.17365799999999998,0.168572,0.210405,0.14963199943304056,1.1605672627378805,0.6777805,3.9029615681396774,3.495979183004206,4.0036838858173365,3,11550.1846,10.5992431640625,0.000306,0.0032433684082031253,0.00314837841796875,0.003929683227539063,1.0
A100-80GB,8,8,1,64,3,0.2884285,0.223787,0.4913015,0.24897600710391993,1.158459015207891,0.5595245,1.7610534326531533,1.3920647504638188,2.5002547064842906,3,17470.291548,563.3369140625,0.000694,0.390955818359375,0.30333628515625,0.665943830078125,1.0
A100-80GB,16,8,1,64,3,0.2594935,0.24194349999999998,0.263131,0.22551999986171722,1.1662400693445292,0.566371,2.182601876347577,2.0358110598903205,2.5167404786654735,3,16513.604013,253.41162109375,0.000694,0.17586766503906248,0.16397342675781248,0.178332923828125,1.0
A100-80GB,32,8,1,64,3,0.2571775,0.23682150000000002,0.404915,0.2151519954204559,1.1953293739963542,0.6283704999999999,2.443333884185047,1.3591309287134337,2.7156254816391248,3,16683.33722,125.574951171875,0.000694,0.08714901611328124,0.08025103564453125,0.1372124072265625,1.0
A100-80GB,64,8,1,64,3,0.2538855,0.2306145,0.286089,0.2150880023837089,1.1570527529847259,0.5899844999999999,2.5583148501069966,1.9119067842524533,2.612063312004821,3,19732.043653,61.9837646484375,0.000694,0.04301673266601562,0.03907384350585937,0.04847308740234375,1.0
A100-80GB,128,8,1,64,3,0.30189449999999995,0.29097300000000004,0.30684100000000003,0.26553599536418915,1.1369249565805353,0.6782935,2.246789855396505,2.048803777852373,2.3702456928993407,3,18450.946005,36.85235595703125,0.000694,0.025575535034179687,0.024650300537109374,0.025994586669921875,1.0
A100-80GB,256,8,1,64,3,0.2637695,0.2257105,0.28132,0.2316159978508949,1.1500850343857725,0.9107395,3.2697659169599995,3.237379141191526,5.543863107751275,3,18132.689787,16.099212646484375,0.000694,0.011172853576660155,0.009560735290527343,0.0119162646484375,1.0
H100!,8,8,1,64,3,0.145126,0.12149499999999999,0.21611550000000002,0.12508799508213994,1.1601912709904891,0.340874,2.2937240742527183,1.7332167290175853,2.805662784476728,3,11674.901025,283.44921875,0.001097,0.31094379296875,0.26031252929687504,0.46304434277343753,1.0
H100!,16,8,1,64,3,0.1237305,0.118436,0.14442549999999998,0.10353599861264226,1.1841705136296063,0.340237,2.8671790706414346,2.3504367303557894,2.8727498395758047,3,9578.293049,120.83056640625,0.001097,0.13255113134765625,0.12687919140625,0.15472145849609376,1.0
H100!,32,8,1,64,3,0.1233975,0.121587,0.1478225,0.10379200056195255,1.1855391104859538,0.36179150000000004,2.83754938309123,2.6731350098936226,2.9755771587423,3,9958.765089,60.252685546875,0.001097,0.06609719604492188,0.06512741162109376,0.07918031372070314,1.0
H100!,64,8,1,64,3,0.123946,0.116264,0.15031299999999997,0.1028959974646568,1.2002762524270818,0.390038,3.0330506833621094,2.773642332998477,3.354761577100392,3,10650.156415,30.26025390625,0.001097,0.033195498535156256,0.031138087890625003,0.04025716821289063,1.0
H100!,128,8,1,64,3,0.1210665,0.120021,0.1610625,0.10200000181794161,1.1766764496163815,0.4478835,3.590890130630686,2.958767559177338,3.7317094508461017,3,10726.152752,14.77862548828125,0.001097,0.016212152160644533,0.016072148071289063,0.02156806182861328,1.0
H100!,256,8,1,64,3,0.122803,0.11978749999999999,0.1812455,0.1044160015881061,1.1760936842269234,0.5884915,4.519026408149639,3.5944644142889066,4.912795575498278,3,10687.902738,7.49530029296875,0.001097,0.00822234442138672,0.008020439910888673,0.012135395111083986,1.0
L4,8,8,1,64,3,0.375464,0.33362899999999995,0.3945435,0.3228159993886947,1.142888780057404,0.8857444999999999,2.420499701702427,2.2449856606432497,2.58506454774615,3,17518.706168,733.328125,0.000222,0.16279884375,0.14465944921875,0.171071595703125,1.0
L4,16,8,1,64,3,0.34007,0.328285,0.352335,0.29179200530052185,1.1654534525363565,0.906108,2.721587949495104,2.5717229341393844,2.852602405387126,3,17118.870606,332.099609375,0.000222,0.07372611328125,0.071171162109375,0.07638512695312501,1.0
L4,32,8,1,64,3,0.3302165,0.3260845,0.340736,0.2900959998369217,1.1383007700403736,0.9110535,2.7498701609398677,2.6737811678249437,2.9677951573901855,3,17349.258578,161.238525390625,0.000222,0.03579495263671875,0.03534705029296875,0.03693525,1.0
L4,64,8,1,64,3,0.347823,0.3306395,0.3484625,0.30135999619960785,1.1481920161282602,0.947094,2.8393129072600223,2.722919415909816,2.96464755891954,3,17296.361596,84.917724609375,0.000222,0.01885173486328125,0.017920402587890624,0.018886395263671876,1.0
L4,128,8,1,64,3,0.345892,0.318911,0.3549375,0.30401600897312164,1.1408379822911245,1.0899109999999999,3.114885571218762,3.083409050889241,3.4176024031783157,3,18608.313496,42.22314453125,0.000222,0.009373538085937501,0.008642363525390625,0.009618667602539063,1.0
L4,256,8,1,64,3,0.33739549999999996,0.332958,0.3431225,0.2943360060453415,1.1312173609799845,1.284937,3.8083999342018497,3.668348767568434,3.937418533268461,3,18238.520226,20.592987060546875,0.000222,0.004571643127441407,0.004511515869140625,0.004649242858886719,1.0
L40S,8,8,1,64,3,0.17271399999999998,0.1442115,0.1917255,0.15296000242233276,1.1852466443215581,0.322423,2.2357648315148237,1.5307213080584088,2.2405548557703594,3,8110.727504,337.33203125,0.000542,0.18283396093749998,0.15266139257812497,0.20295941601562498,1.0
L40S,16,8,1,64,3,0.1146915,0.105347,0.22226,0.09662400186061855,1.1869876820610687,0.319143,2.782621205581931,1.8425920093584092,2.940786163820517,3,8557.157639,112.00341796875,0.000542,0.060705852539062494,0.055759837890625,0.11764152343749999,1.0
L40S,32,8,1,64,3,0.18031049999999998,0.1093555,0.281763,0.15833599865436548,1.1943968697626803,0.3293665,1.8266628953943338,1.809105524855996,2.9307030739194646,3,9174.660815,88.042236328125,0.000542,0.04771889208984374,0.028940762207031248,0.0745681376953125,1.0
L40S,64,8,1,64,3,0.1281795,0.112366,0.252046,0.10678400099277491,1.1775209398424649,0.36956,2.8831443405536765,1.7487700657816432,3.1978712421906983,3,9794.770873,31.2938232421875,0.000542,0.016961252197265624,0.014868743164062498,0.033351790039062496,1.0
