target_active_sessions,repetition,deadline_ms,grouping,threshold_k,horizon_s,mean_active_sessions,event_count,fixed_window_eligible_share,local_upper_share,boundary_alignment_gap,fixed_cohort_p90,local_cohort_p90,local_cohort_max
1000,2,50,pooled,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,10.0,12.0,18
1000,2,50,pooled,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,10.0,12.0,18
1000,2,50,pooled,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,10.0,12.0,18
1000,2,50,pooled,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,10.0,12.0,18
1000,2,50,route_key,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,5.0,6.0,10
1000,2,50,route_key,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,5.0,6.0,10
1000,2,50,route_key,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,5.0,6.0,10
1000,2,50,route_key,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,5.0,6.0,10
1000,2,100,event_class,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,10.0,12.0,17
1000,2,100,event_class,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,10.0,12.0,17
1000,2,100,event_class,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,10.0,12.0,17
1000,2,100,event_class,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,10.0,12.0,17
1000,2,100,pooled,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,17.0,20.0,28
1000,2,100,pooled,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,17.0,20.0,28
1000,2,100,pooled,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,17.0,20.0,28
1000,2,100,pooled,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,17.0,20.0,28
1000,2,100,route_key,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,8.0,10.0,16
1000,2,100,route_key,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,8.0,10.0,16
1000,2,100,route_key,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,8.0,10.0,16
1000,2,100,route_key,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,8.0,10.0,16
1000,2,250,event_class,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,21.0,24.0,31
1000,2,250,event_class,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,21.0,24.0,31
1000,2,250,event_class,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,21.0,24.0,31
1000,2,250,event_class,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,21.0,24.0,31
1000,2,250,pooled,32,60.0,1062.5437636520214,6879,0.34321849105974706,0.7355720308184329,0.39235353975868587,38.0,42.0,49
1000,2,250,pooled,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,38.0,42.0,49
1000,2,250,pooled,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,38.0,42.0,49
1000,2,250,pooled,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,38.0,42.0,49
1000,2,250,route_key,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,17.0,21.0,27
1000,2,250,route_key,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,17.0,21.0,27
1000,2,250,route_key,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,17.0,21.0,27
1000,2,250,route_key,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,17.0,21.0,27
10000,0,10,event_class,32,60.0,9997.073338683264,65544,0.0,0.0,0.0,10.0,12.0,19
10000,0,10,event_class,64,60.0,9997.073338683264,65544,0.0,0.0,0.0,10.0,12.0,19
10000,0,10,event_class,128,60.0,9997.073338683264,65544,0.0,0.0,0.0,10.0,12.0,19
10000,0,10,event_class,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,10.0,12.0,19
10000,0,10,pooled,32,60.0,9997.073338683264,65544,0.0,0.0,0.0,16.0,19.0,28
10000,0,10,pooled,64,60.0,9997.073338683264,65544,0.0,0.0,0.0,16.0,19.0,28
10000,0,10,pooled,128,60.0,9997.073338683264,65544,0.0,0.0,0.0,16.0,19.0,28
10000,0,10,pooled,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,16.0,19.0,28
10000,0,10,route_key,32,60.0,9997.073338683264,65544,0.0,0.0,0.0,8.0,10.0,19
10000,0,10,route_key,64,60.0,9997.073338683264,65544,0.0,0.0,0.0,8.0,10.0,19
10000,0,10,route_key,128,60.0,9997.073338683264,65544,0.0,0.0,0.0,8.0,10.0,19
10000,0,10,route_key,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,8.0,10.0,19
