target_active_sessions,deadline_ms,grouping,threshold_k,repetitions,fixed_window_eligible_share_mean,local_upper_share_mean,local_upper_share_min,local_upper_share_max,boundary_alignment_gap_mean,boundary_alignment_gap_max,event_count_mean,mean_active_sessions,fixed_cohort_p90,local_cohort_p90,local_cohort_max
10000,10,route_key,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,8.0,10.0,19
10000,25,event_class,32,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,19.666666666666668,22.666666666666668,31
10000,25,event_class,64,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,19.666666666666668,22.666666666666668,31
10000,25,event_class,128,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,19.666666666666668,22.666666666666668,31
10000,25,event_class,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,19.666666666666668,22.666666666666668,31
10000,25,pooled,32,3,0.2608774990383474,0.6643894728705783,0.6196892164687103,0.7062480291905041,0.40351197383223086,0.41836719371743475,65348.0,10031.18676986284,35.333333333333336,39.666666666666664,52
10000,25,pooled,64,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,35.333333333333336,39.666666666666664,52
10000,25,pooled,128,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,35.333333333333336,39.666666666666664,52
10000,25,pooled,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,35.333333333333336,39.666666666666664,52
10000,25,route_key,32,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,17.0,20.0,31
10000,25,route_key,64,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,17.0,20.0,31
10000,25,route_key,128,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,17.0,20.0,31
10000,25,route_key,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,17.0,20.0,31
10000,50,event_class,32,3,0.2559862070174031,0.6403864526501815,0.5794720122685946,0.6898809255672177,0.38440024563277836,0.40043845818880724,65348.0,10031.18676986284,34.666666666666664,39.666666666666664,52
10000,50,event_class,64,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,34.666666666666664,39.666666666666664,52
10000,50,event_class,128,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,34.666666666666664,39.666666666666664,52
10000,50,event_class,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,34.666666666666664,39.666666666666664,52
10000,50,pooled,32,3,0.9995201059939806,1.0,1.0,1.0,0.00047989400601955445,0.0014396820180586634,65348.0,10031.18676986284,65.33333333333333,71.66666666666667,84
