target_active_sessions,deadline_ms,grouping,threshold_k,repetitions,event_count_mean,fixed_window_eligible_share_mean,exact_optimal_share_mean,exact_optimal_share_min,exact_optimal_share_max,local_upper_share_mean,exact_batch_count_mean,alignment_gap_closure_mean,solver_elapsed_s_mean
10000,100,pooled,64,3,65348.0,1.0,1.0,1.0,1.0,1.0,595.0,,0.17016226487855116
10000,100,pooled,128,3,65348.0,0.04889455831265684,0.19569983347782852,0.13783390451152527,0.23583644908929832,0.24868643381941546,96.66666666666667,0.7432192435807347,0.13119317622234425
10000,100,pooled,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12940836853037277
10000,100,route_key,32,3,65348.0,0.48187060742436566,0.4924263657164219,0.4875444839857651,0.495422922006591,0.4944546645698713,614.6666666666666,0.8390843404129086,0.14636721011872092
10000,100,route_key,64,3,65348.0,0.03905804453211459,0.12563121853624962,0.10969751028903181,0.14098925912364213,0.1542480760116828,122.33333333333333,0.7516000707146517,0.1289271799226602
10000,100,route_key,128,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1262405882589519
10000,100,route_key,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12625446108480295
10000,250,event_class,32,3,65348.0,0.9943667718206811,0.9943667718206811,0.9942256232101779,0.9944892412571137,0.9943667718206811,477.6666666666667,,0.16703443632771572
10000,250,event_class,64,3,65348.0,0.9943667718206811,0.9943667718206811,0.9942256232101779,0.9944892412571137,0.9943667718206811,477.6666666666667,,0.16656568149725595
10000,250,event_class,128,3,65348.0,0.7614566541370493,0.9463768091253772,0.9166236326933008,0.9669654789254771,0.9727992065441291,452.3333333333333,0.8800548948295793,0.15723829064518213
10000,250,event_class,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1279159140152236
10000,250,pooled,32,3,65348.0,1.0,1.0,1.0,1.0,1.0,240.0,,0.17018152059366307
10000,250,pooled,64,3,65348.0,1.0,1.0,1.0,1.0,1.0,240.0,,0.16747163189575076
10000,250,pooled,128,3,65348.0,1.0,1.0,1.0,1.0,1.0,240.0,,0.16551841717834273
10000,250,pooled,256,3,65348.0,0.8552227885408185,0.9878050224343978,0.9693754596810792,0.9996846704806522,0.9970629991001799,239.33333333333334,0.9531197765018202,0.16136308790495
10000,250,route_key,32,3,65348.0,0.6622233351595285,0.6623657331415457,0.6574170007658002,0.6651104601489076,0.6623657331415457,474.6666666666667,1.0,0.15197989670559764
