source_file,source_row,session_id,benchmark,harness,models,span_count,session_start,session_end,session_duration_s,tool_call_spans,tool_call_count,unique_tool_count,route_count,dominant_route_share,route_concentration,effective_route_count,route_entropy_bits,peak_recorded_span_concurrency,overlapping_span_starts,invalid_json_fields,nonpositive_duration_spans,failed_status_spans,total_input_tokens,total_output_tokens
0021.parquet,27,45eff42acfad_afe4d840,tau2_airline,claude_code,gcp/gemini-3-pro-preview,10,2026-01-28T10:17:41.846975+00:00,2026-01-28T10:19:06.760978+00:00,84.914003,10,10,4,4,0.6,0.42,2.380952380952381,1.5709505944546687,1,0,0,0,0,195638,2616
0021.parquet,28,45eff42acfad_c70329b5,tau2_airline,claude_code,gcp/gemini-3-pro-preview,5,2026-01-28T10:17:27.569841+00:00,2026-01-28T10:18:03.570408+00:00,36.000567,4,4,3,4,0.4,0.28,3.571428571428571,1.9219280948873623,1,0,0,1,1,75806,2020
0021.parquet,29,45eff42acfad_c8205ac5,tau2_airline,claude_code,gcp/gemini-3-pro-preview,15,2026-01-28T10:17:55.906766+00:00,2026-01-28T10:20:30.733327+00:00,154.826561,14,19,8,7,0.3333333333333333,0.2088888888888889,4.787234042553191,2.498929563690935,1,0,0,0,0,313320,6582
0021.parquet,30,45eff42acfad_cfb38167,tau2_airline,claude_code,gcp/gemini-3-pro-preview,10,2026-01-28T10:18:02.867314+00:00,2026-01-28T10:19:38.470854+00:00,95.60354,10,11,5,5,0.4,0.28,3.571428571428571,2.0464393446710156,1,0,0,0,0,202240,5332
0021.parquet,31,45eff42acfad_d14bc95c,tau2_airline,claude_code,gcp/gemini-3-pro-preview,10,2026-01-28T10:18:17.451883+00:00,2026-01-28T10:20:14.559641+00:00,117.107758,10,13,5,4,0.4,0.30000000000000004,3.333333333333333,1.8464393446710154,1,0,0,0,0,201577,5356
0021.parquet,32,45eff42acfad_d5946a6e,tau2_airline,claude_code,gcp/gemini-3-pro-preview,15,2026-01-28T10:18:21.028061+00:00,2026-01-28T10:21:12.053399+00:00,171.025338,14,40,7,7,0.6,0.38666666666666666,2.586206896551724,2.0049355947431313,1,0,0,0,0,345156,11133
0021.parquet,33,45eff42acfad_ea18ca54,tau2_airline,claude_code,gcp/gemini-3-pro-preview,15,2026-01-28T10:17:55.906766+00:00,2026-01-28T10:20:30.733327+00:00,154.826561,14,19,8,7,0.3333333333333333,0.2088888888888889,4.787234042553191,2.498929563690935,1,0,0,0,0,313320,6582
0021.parquet,34,45eff42acfad_ece6acaf,tau2_airline,claude_code,gcp/gemini-3-pro-preview,15,2026-01-28T10:18:21.028061+00:00,2026-01-28T10:21:12.053399+00:00,171.025338,14,40,7,7,0.6,0.38666666666666666,2.586206896551724,2.0049355947431313,1,0,0,0,0,345156,11133
0021.parquet,35,45eff42acfad_ef652f3f,tau2_airline,claude_code,gcp/gemini-3-pro-preview,10,2026-01-28T10:18:49.665282+00:00,2026-01-28T10:20:50.171617+00:00,120.506335,10,15,4,5,0.3,0.24,4.166666666666667,2.1709505944546685,1,0,0,0,0,206938,7229
0021.parquet,36,45eff42acfad_fb99a1ce,tau2_airline,claude_code,gcp/gemini-3-pro-preview,5,2026-01-28T10:18:07.255328+00:00,2026-01-28T10:19:25.231553+00:00,77.976225,4,4,2,3,0.6,0.44,2.272727272727273,1.3709505944546687,1,0,0,0,0,95420,4453
0021.parquet,37,45eff42acfad_fead330f,tau2_airline,claude_code,gcp/gemini-3-pro-preview,12,2026-01-28T10:18:45.953131+00:00,2026-01-28T10:21:28.566772+00:00,162.613641,12,19,6,6,0.5,0.3055555555555556,3.2727272727272725,2.1258145836939115,1,0,0,0,0,243459,6201
0020.parquet,11,58c261317e07_088690cf,tau2_airline,claude_code,openai/Azure/gpt-4.1|Azure/gpt-4.1,4,2026-04-21T03:00:01.539273+00:00,2026-04-21T03:01:18.791782+00:00,77.252509,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,2302,89
0020.parquet,12,ab2f8ca80599_0179d8ec,tau2_airline,claude_code,aws/claude-opus-4-5,17,2026-01-28T14:59:42.081553+00:00,2026-01-28T15:01:19.944097+00:00,97.862544,16,16,7,8,0.35294117647058826,0.2110726643598616,4.737704918032787,2.586887840995814,1,0,0,0,0,461786,2402
0020.parquet,13,ab2f8ca80599_073eaf50,tau2_airline,claude_code,aws/claude-opus-4-5,15,2026-01-28T14:58:49.610066+00:00,2026-01-28T15:00:00.561225+00:00,70.951159,14,14,4,5,0.4666666666666667,0.3155555555555556,3.169014084507042,1.93012496531497,1,0,0,0,0,405179,2128
0020.parquet,14,ab2f8ca80599_0d06940f,tau2_airline,claude_code,aws/claude-opus-4-5,8,2026-01-28T14:58:18.981999+00:00,2026-01-28T14:59:05.019655+00:00,46.037656,8,8,3,3,0.75,0.59375,1.6842105263157894,1.061278124459133,1,0,0,0,0,201573,1320
0020.parquet,15,ab2f8ca80599_1919f9b6,tau2_airline,claude_code,aws/claude-opus-4-5,7,2026-01-28T14:58:07.415242+00:00,2026-01-28T14:58:43.612656+00:00,36.197414,6,6,4,5,0.42857142857142855,0.26530612244897955,3.7692307692307696,2.128085278891394,1,0,0,1,1,150447,968
0020.parquet,16,ab2f8ca80599_1c35a320,tau2_airline,claude_code,aws/claude-opus-4-5,14,2026-01-28T14:58:54.873944+00:00,2026-01-28T15:00:23.316578+00:00,88.442634,14,14,6,6,0.42857142857142855,0.26530612244897955,3.7692307692307696,2.217021885879718,1,0,0,0,0,372739,2528
0020.parquet,17,ab2f8ca80599_216dd326,tau2_airline,claude_code,aws/claude-opus-4-5,9,2026-01-28T14:59:19.478475+00:00,2026-01-28T15:00:15.121879+00:00,55.643404,9,9,3,3,0.5555555555555556,0.4320987654320988,2.314285714285714,1.3516441151533924,1,0,0,0,0,228762,1503
0020.parquet,18,ab2f8ca80599_39310f33,tau2_airline,claude_code,aws/claude-opus-4-5,14,2026-01-28T14:58:27.153684+00:00,2026-01-28T14:59:42.425765+00:00,75.272081,13,13,5,6,0.35714285714285715,0.2755102040816327,3.6296296296296293,2.148834854280917,1,0,0,0,0,374130,2450
0020.parquet,19,ab2f8ca80599_3c0a75ce,tau2_airline,claude_code,aws/claude-opus-4-5,16,2026-01-28T14:58:38.910732+00:00,2026-01-28T14:59:57.658662+00:00,78.74793,15,15,7,8,0.3125,0.21875,4.571428571428571,2.5487949406953985,1,0,0,0,0,440245,2839
0020.parquet,20,ab2f8ca80599_4174ed68,tau2_airline,claude_code,aws/claude-opus-4-5,15,2026-01-28T14:58:50.463214+00:00,2026-01-28T15:01:08.841409+00:00,138.378195,15,15,5,5,0.6,0.41333333333333333,2.4193548387096775,1.6879430945989,1,0,0,0,0,404231,3503
0020.parquet,21,ab2f8ca80599_506b3902,tau2_airline,claude_code,aws/claude-opus-4-5,10,2026-01-28T14:59:14.369866+00:00,2026-01-28T15:00:21.852441+00:00,67.482575,9,9,3,4,0.7,0.5199999999999999,1.9230769230769234,1.3567796494470397,1,0,0,0,0,255197,2051
0020.parquet,22,ab2f8ca80599_66a5cbdd,tau2_airline,claude_code,aws/claude-opus-4-5,7,2026-01-28T14:58:21.580563+00:00,2026-01-28T14:59:00.511210+00:00,38.930647,6,6,2,3,0.7142857142857143,0.5510204081632654,1.8148148148148147,1.1488348542809166,1,0,0,0,0,175892,1369
0020.parquet,23,ab2f8ca80599_7058ab1a,tau2_airline,claude_code,aws/claude-opus-4-5,7,2026-01-28T14:58:07.415242+00:00,2026-01-28T14:58:43.612656+00:00,36.197414,6,6,4,5,0.42857142857142855,0.26530612244897955,3.7692307692307696,2.128085278891394,1,0,0,1,1,150447,968
0020.parquet,24,ab2f8ca80599_8d2dcdf7,tau2_airline,claude_code,aws/claude-opus-4-5,5,2026-01-28T14:58:59.589300+00:00,2026-01-28T14:59:23.837152+00:00,24.247852,5,5,2,2,0.8,0.6800000000000002,1.4705882352941173,0.7219280948873623,1,0,0,0,0,124107,1066
0020.parquet,25,ab2f8ca80599_8df7cf0b,tau2_airline,claude_code,aws/claude-opus-4-5,14,2026-01-28T14:58:27.153684+00:00,2026-01-28T14:59:42.425765+00:00,75.272081,13,13,5,6,0.35714285714285715,0.2755102040816327,3.6296296296296293,2.148834854280917,1,0,0,0,0,374130,2450
0020.parquet,26,ab2f8ca80599_8ec4eb8d,tau2_airline,claude_code,aws/claude-opus-4-5,17,2026-01-28T14:59:02.767696+00:00,2026-01-28T15:00:37.566901+00:00,94.799205,16,16,5,6,0.5294117647058824,0.3494809688581315,2.8613861386138613,1.9386790169573505,1,0,0,0,0,460156,1994
