target_active_sessions,window_ms,grouping,threshold_k,repetitions,eligible_share_mean,eligible_share_std,eligible_share_min,eligible_share_max,cohort_size_event_mean,cohort_size_event_p50,cohort_size_event_p90,cohort_size_event_p99,cohort_size_max,wait_ms_mean,wait_ms_p95,mean_active_sessions,active_population_ratio,event_rate_hz
100000,5,pooled,1024,5,0.0,0.0,0.0,0.0,55.38496851770503,55.2,65.0,73.0,88,2.501631843050666,4.750822592670437,100031.69538052795,1.0003169538052794,10874.673333333334
100000,5,pooled,4096,5,0.0,0.0,0.0,0.0,55.38496851770503,55.2,65.0,73.0,88,2.501631843050666,4.750822592670437,100031.69538052795,1.0003169538052794,10874.673333333334
100000,5,route_key,32,5,0.09040543896640443,0.0025941467478358595,0.08751952536346627,0.09336365801747255,15.539953689467463,14.6,31.0,38.0,49,2.501631843050666,4.750822592670437,100031.69538052795,1.0003169538052794,10874.673333333334
100000,5,route_key,64,5,0.0,0.0,0.0,0.0,15.539953689467463,14.6,31.0,38.0,49,2.501631843050666,4.750822592670437,100031.69538052795,1.0003169538052794,10874.673333333334
100000,5,route_key,128,5,0.0,0.0,0.0,0.0,15.539953689467463,14.6,31.0,38.0,49,2.501631843050666,4.750822592670437,100031.69538052795,1.0003169538052794,10874.673333333334
100000,5,route_key,256,5,0.0,0.0,0.0,0.0,15.539953689467463,14.6,31.0,38.0,49,2.501631843050666,4.750822592670437,100031.69538052795,1.0003169538052794,10874.673333333334
100000,5,route_key,512,5,0.0,0.0,0.0,0.0,15.539953689467463,14.6,31.0,38.0,49,2.501631843050666,4.750822592670437,100031.69538052795,1.0003169538052794,10874.673333333334
100000,5,route_key,1024,5,0.0,0.0,0.0,0.0,15.539953689467463,14.6,31.0,38.0,49,2.501631843050666,4.750822592670437,100031.69538052795,1.0003169538052794,10874.673333333334
100000,5,route_key,4096,5,0.0,0.0,0.0,0.0,15.539953689467463,14.6,31.0,38.0,49,2.501631843050666,4.750822592670437,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,event_class,32,5,0.9938319159196561,0.0001874792109221258,0.9935964716820211,0.994074692834096,54.81660652023701,55.0,65.0,73.6,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
