hardware,agent_count,state_width,action_count,mode,threads,repetitions,median_wall_ms,mean_wall_ms,std_wall_ms,p10_wall_ms,p90_wall_ms,median_ns_per_agent_step,correctness_valid,cv
NVIDIA GeForce GTX 1660 Ti,4096,8,8,cpu,8.0,10,6.275458,7.6153762,3.918571122881424,6.1261461,8.495785599999996,23.93897247314453,True,0.5145604130340171
NVIDIA GeForce GTX 1660 Ti,4096,8,8,eager-host-visible,,10,8.557338999999999,8.667670900000001,0.3992608485501539,8.440921600000001,8.8430551,32.64365768432617,True,0.04606322196083309
NVIDIA GeForce GTX 1660 Ti,4096,8,8,eager-resident,,10,7.147353,7.201788500000001,0.1585649635969436,7.115806,7.3170368,27.26498794555664,True,0.022017442416830707
NVIDIA GeForce GTX 1660 Ti,4096,8,8,graph-resident,,10,1.9030965,1.9060770999999999,0.007144089389916106,1.9013158,1.9166234,7.259737014770508,True,0.003748058979312068
NVIDIA GeForce GTX 1660 Ti,4096,32,1,cpu,1.0,10,9.352939,9.3679511,0.08769525070435713,9.2828619,9.4894937,35.67863082885742,True,0.00936119859809656
NVIDIA GeForce GTX 1660 Ti,4096,32,1,cpu,8.0,10,11.460694,14.2505053,12.23603376082386,5.4730764,26.247900099999992,43.719078063964844,True,0.8586385888242054
NVIDIA GeForce GTX 1660 Ti,4096,32,1,eager-host-visible,,10,8.815968999999999,8.898242999999999,0.2239992332119814,8.7431959,9.0989906,33.630252838134766,True,0.025173422799532608
NVIDIA GeForce GTX 1660 Ti,4096,32,1,eager-resident,,10,7.008409,7.0105521,0.14620544738403785,6.8425109,7.2328221,26.73495864868164,True,0.020855054680220954
NVIDIA GeForce GTX 1660 Ti,4096,32,1,graph-resident,,10,3.4669670000000004,3.4703927,0.009648579032398625,3.4637315,3.4783402000000003,13.22542953491211,True,0.0027802556847236985
NVIDIA GeForce GTX 1660 Ti,4096,32,8,cpu,1.0,10,12.3653255,12.4273662,0.2246354051647054,12.2193899,12.6417687,47.169973373413086,True,0.01807586591957879
NVIDIA GeForce GTX 1660 Ti,4096,32,8,cpu,8.0,10,5.808085999999999,6.0045802,0.6991999317405256,5.6470798,6.2004892,22.156089782714844,True,0.11644443215872537
NVIDIA GeForce GTX 1660 Ti,4096,32,8,eager-host-visible,,10,8.793052,8.843321,0.19928750767672326,8.6255491,9.0993866,33.54283142089844,True,0.02253536965091771
NVIDIA GeForce GTX 1660 Ti,4096,32,8,eager-resident,,10,7.0669699999999995,7.0660101,0.015615812736881063,7.0458521,7.0813626,26.958351135253906,True,0.002209990152275761
NVIDIA GeForce GTX 1660 Ti,4096,32,8,graph-resident,,10,2.8760190000000003,2.8810112,0.018300858964661833,2.8614957000000003,2.9013338,10.971141815185547,True,0.006352234578144588
NVIDIA GeForce GTX 1660 Ti,16384,8,1,cpu,1.0,10,20.203483,20.2901981,0.24331212106101627,20.1742848,20.3470325,19.267542839050293,True,0.011991608946440807
NVIDIA GeForce GTX 1660 Ti,16384,8,1,cpu,8.0,10,10.056398999999999,20.445292799999997,21.740413009424536,9.341058,61.1513348,9.590529441833496,True,1.063345642544407
NVIDIA GeForce GTX 1660 Ti,16384,8,1,eager-host-visible,,10,9.4456525,9.4687434,0.05238087238932431,9.432478999999999,9.5248851,9.008076190948486,True,0.005531977177597221
